episode,length,end reason,reward sum
0,188,Fencer went out of bounds,-305
1,145,Fencer went out of bounds,-285
2,181,Fencer hit opponent,15
3,164,Fencer went out of bounds,-286
4,88,Fencer went out of bounds,-286
5,142,Fencer went out of bounds,-285
6,143,Fencer went out of bounds,-285
7,139,Fencer went out of bounds,-284
8,155,Fencer went out of bounds,-306
9,126,Fencer went out of bounds,-285
10,143,Fencer went out of bounds,-285
11,148,Fencer went out of bounds,-305
12,155,Fencer went out of bounds,-307
13,84,Fencer went out of bounds,-283
14,80,Fencer went out of bounds,-279
15,88,Fencer went out of bounds,-286
16,77,Fencer went out of bounds,-276
17,76,Fencer went out of bounds,-275
18,84,Fencer went out of bounds,-283
19,82,Fencer went out of bounds,-281
20,87,Fencer went out of bounds,-286
21,83,Fencer went out of bounds,-282
22,78,Fencer went out of bounds,-277
23,144,Fencer went out of bounds,-285
24,144,Fencer hit opponent,15
25,79,Fencer went out of bounds,-278
26,84,Fencer went out of bounds,-283
27,154,Fencer went out of bounds,-286
28,150,Fencer went out of bounds,-286
29,146,Fencer went out of bounds,-285
30,134,Fencer went out of bounds,-285
31,160,Fencer went out of bounds,-285
32,141,Fencer went out of bounds,-285
33,143,Fencer went out of bounds,-285
34,153,Fencer went out of bounds,-286
35,78,Fencer went out of bounds,-277
36,160,Fencer went out of bounds,-305
37,99,Fencer went out of bounds,-295
38,87,Fencer went out of bounds,-286
39,103,Fencer went out of bounds,-302
40,90,Fencer went out of bounds,-289
41,94,Fencer went out of bounds,-293
42,119,Fencer went out of bounds,-307
43,88,Fencer went out of bounds,-287
44,93,Fencer went out of bounds,-292
45,104,Fencer went out of bounds,-303
46,109,Fencer went out of bounds,-307
47,93,Fencer went out of bounds,-292
48,84,Fencer went out of bounds,-283
49,126,Fencer went out of bounds,-308
50,86,Fencer went out of bounds,-285
51,102,Fencer went out of bounds,-301
52,88,Fencer went out of bounds,-287
53,92,Fencer went out of bounds,-291
54,146,Fencer went out of bounds,-305
55,135,Fencer went out of bounds,-306
56,157,Fencer went out of bounds,-306
57,151,Fencer went out of bounds,-305
58,110,Fencer went out of bounds,-308
59,146,Fencer went out of bounds,-306
60,145,Fencer went out of bounds,-306
61,136,Fencer went out of bounds,-304
62,149,Fencer went out of bounds,-285
63,87,Fencer went out of bounds,-286
64,150,Fencer went out of bounds,-285
65,155,Fencer went out of bounds,-286
66,85,Fencer went out of bounds,-284
67,157,Fencer went out of bounds,-306
68,153,Fencer went out of bounds,-285
69,164,Fencer went out of bounds,-286
70,87,Opponent went out of bounds,-85
71,150,Fencer went out of bounds,-286
72,69,Fencer went out of bounds,-268
73,140,Fencer went out of bounds,-305
74,154,Fencer went out of bounds,-286
75,144,Fencer went out of bounds,-285
76,149,Fencer went out of bounds,-285
77,136,Fencer went out of bounds,-285
78,150,Fencer went out of bounds,-286
79,141,Fencer went out of bounds,-285
80,141,Fencer went out of bounds,-285
81,130,Fencer went out of bounds,-284
82,151,Fencer went out of bounds,-284
83,148,Fencer went out of bounds,-304
84,133,Fencer went out of bounds,-285
85,152,Fencer went out of bounds,-286
86,155,Fencer went out of bounds,-285
87,67,Fencer went out of bounds,-266
88,137,Fencer went out of bounds,-306
89,153,Fencer went out of bounds,-286
90,92,Fencer went out of bounds,-287
91,88,Fencer went out of bounds,-287
92,134,Fencer went out of bounds,-285
93,133,Fencer went out of bounds,-284
94,146,Fencer went out of bounds,-285
95,160,Fencer went out of bounds,-304
96,149,Fencer went out of bounds,-286
97,142,Fencer went out of bounds,-285
98,79,Fencer went out of bounds,-278
99,148,Fencer went out of bounds,-286
100,149,Fencer went out of bounds,-285
