episode,length,end reason,reward sum
0,187,Fencer went out of bounds,-265.5
1,164,Fencer went out of bounds,-249.5
2,140,Fencer went out of bounds,-211.5
3,136,Fencer went out of bounds,-209.5
4,245,Fencer went out of bounds,-205.0
5,133,Fencer went out of bounds,-209.0
6,118,Fencer went out of bounds,-217.0
7,126,Fencer went out of bounds,-201.0
8,142,Fencer went out of bounds,-242.5
9,115,Fencer went out of bounds,-201.5
10,225,Fencer went out of bounds,-256.5
11,176,Fencer hit opponent,192.5
12,157,Fencer went out of bounds,-231.0
13,157,Fencer went out of bounds,-201.5
14,182,Fencer went out of bounds,-219.0
15,190,Fencer hit opponent,167.5
16,163,Fencer went out of bounds,-250.5
17,147,Fencer went out of bounds,-238.5
18,166,Fencer went out of bounds,-250.5
19,116,Fencer went out of bounds,-211.0
20,132,Fencer went out of bounds,-201.0
21,145,Fencer went out of bounds,-213.5
22,160,Fencer hit opponent,189.5
23,229,Fencer hit opponent,168.0
24,151,Fencer went out of bounds,-203.0
25,171,Fencer went out of bounds,-201.0
26,115,Fencer went out of bounds,-201.5
27,220,Fencer hit opponent,190.0
28,123,Fencer went out of bounds,-201.5
29,171,Fencer went out of bounds,-224.0
30,180,Fencer went out of bounds,-237.5
31,124,Fencer went out of bounds,-215.5
32,167,Fencer went out of bounds,-234.5
33,131,Fencer went out of bounds,-217.0
34,132,Fencer went out of bounds,-201.0
35,34,Fencer fell over,-106.0
36,60,Opponent went out of bounds,-8.5
37,150,Fencer went out of bounds,-201.5
38,116,Fencer went out of bounds,-207.0
39,115,Fencer went out of bounds,-201.0
40,121,Fencer went out of bounds,-201.0
41,121,Fencer went out of bounds,-201.0
42,195,Fencer hit opponent,199.0
43,166,Fencer went out of bounds,-219.5
44,218,Fencer went out of bounds,-274.0
45,59,Opponent fell over,189.5
46,66,Fencer fell over,-109.0
47,141,Fencer went out of bounds,-211.0
48,166,Fencer hit opponent,199.0
49,185,Fencer went out of bounds,-219.5
50,262,Fencer went out of bounds,-229.0
51,116,Fencer went out of bounds,-201.0
52,162,Fencer went out of bounds,-201.0
53,152,Fencer hit opponent,190.0
54,78,Opponent fell over,199.0
55,129,Fencer went out of bounds,-201.5
56,142,Fencer went out of bounds,-201.0
57,43,Opponent fell over,199.0
58,190,Fencer went out of bounds,-241.5
59,218,Fencer got to close to opponent,-59.0
60,126,Fencer went out of bounds,-203.0
61,153,Fencer went out of bounds,-201.0
62,122,Fencer went out of bounds,-201.0
63,119,Fencer went out of bounds,-201.0
64,176,Fencer hit opponent,199.0
65,183,Fencer went out of bounds,-201.0
66,123,Fencer went out of bounds,-211.0
67,138,Fencer went out of bounds,-201.0
68,191,Fencer went out of bounds,-201.0
69,115,Fencer went out of bounds,-208.0
70,174,Fencer went out of bounds,-201.5
71,180,Fencer went out of bounds,-201.0
72,153,Fencer went out of bounds,-201.0
73,236,Fencer got to close to opponent,-51.5
74,235,Fencer went out of bounds,-217.0
75,155,Fencer hit opponent,198.5
76,113,Fencer went out of bounds,-201.0
77,135,Fencer went out of bounds,-201.0
78,236,Fencer got to close to opponent,-58.0
79,117,Fencer went out of bounds,-201.0
80,135,Fencer went out of bounds,-201.0
81,205,Fencer went out of bounds,-210.0
82,222,Fencer got to close to opponent,-51.5
83,134,Fencer went out of bounds,-201.0
84,154,Fencer went out of bounds,-201.0
85,230,Fencer went out of bounds,-201.0
86,77,Fencer fell over,-101.0
87,162,Fencer hit opponent,182.5
88,105,Opponent went out of bounds,-1.0
89,70,Opponent went out of bounds,-1.0
90,138,Fencer went out of bounds,-201.0
91,133,Fencer went out of bounds,-201.0
92,241,Fencer fell over,-112.0
93,129,Fencer went out of bounds,-201.0
94,145,Fencer hit opponent,199.0
95,157,Fencer went out of bounds,-201.0
96,131,Fencer went out of bounds,-209.5
97,166,Fencer went out of bounds,-201.0
98,28,Opponent fell over,199.0
99,345,Fencer got to close to opponent,-107.5
