episode,length,end reason,reward sum
0,263,Fencer got to close to opponent,-54.0
1,145,Fencer went out of bounds,-200
2,172,Fencer hit opponent,200
3,135,Fencer went out of bounds,-200
4,95,Fencer fell over,-113.5
5,137,Fencer went out of bounds,-214.5
6,231,Fencer went out of bounds,-205.5
7,210,Fencer went out of bounds,-200
8,188,Fencer hit opponent,200
9,138,Fencer went out of bounds,-200
10,128,Fencer went out of bounds,-211.5
11,172,Fencer went out of bounds,-200
12,239,Fencer went out of bounds,-201.5
13,135,Fencer went out of bounds,-200
14,134,Fencer went out of bounds,-200
15,223,Fencer went out of bounds,-200
16,220,Fencer got to close to opponent,-50
17,129,Fencer went out of bounds,-200
18,33,Fencer fell over,-113.0
19,125,Fencer went out of bounds,-200
20,167,Fencer went out of bounds,-203.0
21,148,Fencer went out of bounds,-200
22,198,Fencer went out of bounds,-200
23,241,Fencer went out of bounds,-200
24,157,Fencer went out of bounds,-200
25,234,Fencer got to close to opponent,-51.0
26,50,Opponent fell over,200
27,116,Fencer went out of bounds,-200
28,178,Fencer went out of bounds,-200
29,154,Fencer went out of bounds,-230.0
30,164,Fencer went out of bounds,-200
31,139,Fencer went out of bounds,-205.0
32,143,Fencer went out of bounds,-204.5
33,137,Fencer went out of bounds,-200
34,135,Fencer went out of bounds,-200
35,215,Fencer went out of bounds,-200
36,149,Fencer went out of bounds,-200
37,137,Fencer went out of bounds,-200
38,129,Fencer went out of bounds,-200
39,116,Fencer went out of bounds,-201.0
40,146,Fencer went out of bounds,-200
41,55,Fencer fell over,-100
42,184,Fencer went out of bounds,-200
43,143,Fencer went out of bounds,-200
44,129,Fencer went out of bounds,-200
45,206,Fencer went out of bounds,-200
46,9,Opponent fell over,199.0
47,149,Fencer went out of bounds,-200
48,174,Fencer went out of bounds,-200
49,149,Fencer went out of bounds,-200
50,136,Fencer went out of bounds,-200
51,186,Fencer went out of bounds,-200
52,151,Fencer went out of bounds,-201.0
53,149,Fencer went out of bounds,-200
54,139,Fencer went out of bounds,-200
55,214,Fencer hit opponent,200
56,226,Fencer went out of bounds,-200
57,134,Fencer went out of bounds,-200
58,207,Fencer hit opponent,196.0
59,123,Fencer went out of bounds,-200
60,240,Fencer went out of bounds,-204.5
61,57,Opponent fell over,200
62,125,Fencer went out of bounds,-200
63,117,Fencer went out of bounds,-200
64,128,Fencer went out of bounds,-200
65,175,Fencer went out of bounds,-200
66,144,Fencer went out of bounds,-200
67,177,Fencer went out of bounds,-206.0
68,178,Fencer hit opponent,190.5
69,163,Fencer hit opponent,200
70,130,Fencer went out of bounds,-200
71,88,Fencer fell over,-104.5
72,127,Fencer went out of bounds,-200
73,390,Fencer went out of bounds,-200
74,209,Fencer went out of bounds,-200
75,161,Fencer went out of bounds,-200
76,111,Opponent fell over,200
77,120,Fencer went out of bounds,-200
78,115,Fencer went out of bounds,-200
79,937,Fencer went out of bounds,-210.0
80,112,Fencer went out of bounds,-200
81,141,Fencer went out of bounds,-200
82,144,Fencer went out of bounds,-200
83,149,Fencer went out of bounds,-213.5
84,41,Opponent went out of bounds,0
85,141,Fencer went out of bounds,-200
86,285,Fencer got to close to opponent,-64.0
87,150,Fencer hit opponent,200
88,328,Fencer went out of bounds,-218.5
89,127,Fencer went out of bounds,-200
90,123,Fencer went out of bounds,-200
91,132,Fencer went out of bounds,-200
92,144,Fencer went out of bounds,-200
93,140,Fencer went out of bounds,-200
94,126,Fencer went out of bounds,-200
95,115,Fencer went out of bounds,-200
96,132,Fencer went out of bounds,-200
97,321,Fencer went out of bounds,-221.5
98,125,Fencer went out of bounds,-213.5
99,136,Fencer went out of bounds,-200
