episode,length,end reason,reward sum
0,218,Fencer went out of bounds,-234.5
1,129,Fencer went out of bounds,-213.0
2,40,Fencer fell over,-117.5
3,40,Fencer fell over,-119.0
4,48,Fencer fell over,-123.5
5,160,Fencer went out of bounds,-235.5
6,181,Fencer went out of bounds,-273.5
7,221,Fencer went out of bounds,-216.5
8,166,Fencer hit opponent,179.5
9,176,Fencer went out of bounds,-202.5
10,127,Fencer went out of bounds,-202.5
11,131,Fencer went out of bounds,-211.0
12,311,Fencer got to close to opponent,-60.5
13,127,Fencer went out of bounds,-203.0
14,132,Fencer went out of bounds,-209.5
15,126,Fencer went out of bounds,-202.5
16,178,Fencer went out of bounds,-219.5
17,172,Fencer hit opponent,189.0
18,223,Fencer went out of bounds,-204.5
19,123,Fencer went out of bounds,-202.5
20,129,Fencer went out of bounds,-218.5
21,40,Opponent fell over,197.5
22,120,Fencer went out of bounds,-202.5
23,140,Fencer went out of bounds,-203.0
24,17,Opponent fell over,196.0
25,255,Fencer went out of bounds,-263.0
26,75,Fencer fell over,-103.0
27,138,Fencer went out of bounds,-203.0
28,143,Fencer went out of bounds,-202.5
29,128,Fencer went out of bounds,-202.5
30,118,Fencer went out of bounds,-203.0
31,8,Fencer fell over,-103.0
32,126,Fencer went out of bounds,-205.5
33,122,Fencer went out of bounds,-202.5
34,128,Fencer went out of bounds,-203.0
35,139,Fencer went out of bounds,-203.0
36,126,Fencer went out of bounds,-213.5
37,133,Fencer went out of bounds,-203.0
38,132,Fencer went out of bounds,-230.0
39,207,Fencer went out of bounds,-248.5
40,117,Fencer went out of bounds,-222.5
41,119,Fencer went out of bounds,-203.0
42,95,Fencer went out of bounds,-204.5
43,147,Fencer went out of bounds,-203.0
44,173,Fencer hit opponent,185.0
45,116,Fencer went out of bounds,-202.5
46,131,Fencer went out of bounds,-202.5
47,201,Fencer went out of bounds,-202.5
48,279,Fencer went out of bounds,-255.5
49,144,Fencer went out of bounds,-203.0
50,229,Fencer went out of bounds,-202.5
51,113,Fencer went out of bounds,-202.5
52,122,Fencer went out of bounds,-218.5
53,125,Fencer went out of bounds,-215.5
54,127,Fencer went out of bounds,-203.0
55,145,Fencer went out of bounds,-202.5
56,137,Fencer went out of bounds,-203.0
57,110,Fencer went out of bounds,-219.0
58,293,Fencer went out of bounds,-272.5
59,30,Opponent fell over,197.5
60,142,Fencer went out of bounds,-203.0
61,101,Fencer went out of bounds,-203.0
62,154,Fencer went out of bounds,-202.5
63,114,Fencer went out of bounds,-204.5
64,124,Fencer went out of bounds,-203.0
65,151,Fencer went out of bounds,-218.0
66,172,Fencer went out of bounds,-240.5
67,7,Fencer fell over,-102.5
68,402,Fencer went out of bounds,-364.5
69,107,Fencer went out of bounds,-202.5
70,260,Opponent fell over,168.0
71,235,Fencer got to close to opponent,-52.5
72,82,Fencer went out of bounds,-240.5
73,94,Fencer went out of bounds,-204.0
74,107,Fencer went out of bounds,-213.5
75,224,Fencer went out of bounds,-202.5
76,161,Fencer went out of bounds,-218.5
77,167,Opponent fell over,181.5
78,106,Fencer went out of bounds,-204.0
79,187,Fencer went out of bounds,-202.5
80,147,Fencer went out of bounds,-249.5
81,214,Fencer went out of bounds,-203.0
82,89,Fencer went out of bounds,-244.0
83,132,Fencer went out of bounds,-202.5
84,155,Fencer went out of bounds,-202.5
85,157,Fencer went out of bounds,-202.5
86,138,Fencer went out of bounds,-202.5
87,114,Fencer went out of bounds,-215.0
88,297,Fencer got to close to opponent,-56.5
89,126,Fencer went out of bounds,-202.5
90,127,Fencer went out of bounds,-218.0
91,137,Fencer went out of bounds,-207.5
92,247,Fencer hit opponent,192.0
93,93,Opponent fell over,197.5
94,121,Fencer went out of bounds,-203.0
95,109,Fencer went out of bounds,-214.0
96,115,Fencer went out of bounds,-203.0
97,168,Fencer went out of bounds,-202.5
98,138,Fencer went out of bounds,-202.5
99,114,Fencer went out of bounds,-214.5
