episode,length,end reason,reward sum
0,126,Fencer went out of bounds,-217.0
1,115,Fencer went out of bounds,-201.5
2,121,Fencer went out of bounds,-202.0
3,147,Fencer went out of bounds,-251.5
4,169,Fencer went out of bounds,-202.0
5,127,Fencer went out of bounds,-201.5
6,60,Fencer fell over,-101.5
7,128,Fencer went out of bounds,-208.5
8,14,Fencer fell over,-101.5
9,96,Fencer went out of bounds,-202.5
10,138,Fencer went out of bounds,-201.5
11,10,Opponent fell over,198.5
12,210,Fencer hit opponent,182.0
13,117,Fencer went out of bounds,-201.5
14,124,Fencer went out of bounds,-201.5
15,117,Fencer went out of bounds,-207.5
16,124,Fencer went out of bounds,-201.5
17,119,Fencer went out of bounds,-209.5
18,124,Fencer went out of bounds,-201.5
19,56,Fencer fell over,-111.0
20,181,Fencer went out of bounds,-201.0
21,210,Fencer went out of bounds,-227.0
22,142,Fencer went out of bounds,-209.0
23,156,Fencer went out of bounds,-227.0
24,137,Fencer went out of bounds,-212.0
25,236,Fencer got to close to opponent,-65.5
26,197,Fencer went out of bounds,-201.5
27,152,Fencer went out of bounds,-201.5
28,123,Fencer went out of bounds,-201.5
29,122,Fencer went out of bounds,-217.0
30,172,Fencer hit opponent,198.5
31,128,Fencer went out of bounds,-206.5
32,113,Fencer went out of bounds,-201.5
33,196,Fencer hit opponent,173.0
34,121,Fencer went out of bounds,-203.5
35,124,Fencer went out of bounds,-218.0
36,177,Fencer went out of bounds,-248.0
37,115,Fencer went out of bounds,-201.0
38,11,Opponent fell over,195.0
39,132,Fencer went out of bounds,-201.5
40,178,Fencer went out of bounds,-233.5
41,224,Fencer went out of bounds,-201.5
42,112,Fencer went out of bounds,-201.5
43,174,Fencer hit opponent,191.0
44,94,Fencer fell over,-108.0
45,126,Fencer went out of bounds,-206.0
46,120,Fencer went out of bounds,-201.5
47,72,Opponent fell over,199.0
48,129,Fencer went out of bounds,-201.0
49,177,Fencer went out of bounds,-201.5
50,137,Fencer went out of bounds,-201.5
51,125,Fencer went out of bounds,-201.5
52,125,Fencer went out of bounds,-201.5
53,139,Fencer went out of bounds,-201.5
54,115,Fencer went out of bounds,-201.5
55,226,Fencer got to close to opponent,-52.0
56,132,Fencer went out of bounds,-201.5
57,172,Fencer went out of bounds,-201.0
58,143,Fencer hit opponent,198.5
59,124,Fencer went out of bounds,-201.5
60,186,Fencer went out of bounds,-201.5
61,42,Fencer fell over,-101.5
62,158,Fencer hit opponent,198.5
63,285,Fencer got to close to opponent,-66.0
64,120,Fencer went out of bounds,-201.5
65,168,Fencer hit opponent,198.5
66,201,Fencer went out of bounds,-218.0
67,125,Fencer went out of bounds,-201.0
68,134,Fencer went out of bounds,-201.5
69,162,Fencer hit opponent,198.5
70,89,Opponent went out of bounds,-8.0
71,123,Fencer went out of bounds,-201.5
72,176,Fencer went out of bounds,-241.0
73,220,Fencer got to close to opponent,-51.5
74,207,Fencer went out of bounds,-202.0
75,122,Fencer went out of bounds,-201.5
76,127,Fencer went out of bounds,-201.0
77,125,Fencer went out of bounds,-201.5
78,171,Fencer went out of bounds,-201.0
79,120,Fencer went out of bounds,-201.5
80,116,Fencer went out of bounds,-201.5
81,117,Fencer went out of bounds,-201.5
82,117,Fencer went out of bounds,-201.5
83,128,Fencer went out of bounds,-202.0
84,114,Fencer went out of bounds,-201.5
85,138,Fencer went out of bounds,-201.5
86,116,Fencer went out of bounds,-201.5
87,34,Fencer fell over,-102.0
88,168,Fencer went out of bounds,-201.5
89,126,Fencer went out of bounds,-201.5
90,117,Fencer went out of bounds,-201.5
91,162,Fencer hit opponent,198.0
92,128,Fencer went out of bounds,-201.5
93,119,Fencer went out of bounds,-202.0
94,118,Fencer went out of bounds,-201.5
95,111,Fencer went out of bounds,-201.5
96,97,Opponent fell over,198.5
97,117,Fencer went out of bounds,-201.5
98,143,Fencer went out of bounds,-201.5
99,118,Fencer went out of bounds,-201.5
