episode,length,end reason,reward sum
0,106,Fencer went out of bounds,-202.5
1,165,Fencer went out of bounds,-216.0
2,157,Fencer went out of bounds,-200.5
3,154,Fencer went out of bounds,-205.5
4,114,Fencer went out of bounds,-200.5
5,188,Fencer went out of bounds,-233.0
6,10,Fencer fell over,-103.5
7,159,Fencer went out of bounds,-224.0
8,291,Fencer went out of bounds,-211.0
9,124,Fencer went out of bounds,-207.5
10,86,Fencer fell over,-109.5
11,43,Fencer fell over,-115.0
12,144,Fencer went out of bounds,-218.0
13,124,Fencer went out of bounds,-205.0
14,193,Fencer went out of bounds,-210.5
15,134,Fencer went out of bounds,-201.0
16,161,Fencer went out of bounds,-206.5
17,121,Fencer went out of bounds,-200.5
18,31,Opponent fell over,199.5
19,178,Fencer fell over,-100.5
20,176,Fencer hit opponent,199.0
21,179,Fencer hit opponent,199.5
22,127,Fencer went out of bounds,-200.5
23,185,Fencer fell over,-100.5
24,115,Fencer went out of bounds,-201.0
25,116,Fencer went out of bounds,-200.5
26,171,Fencer went out of bounds,-203.0
27,154,Fencer went out of bounds,-208.5
28,391,Fencer fell over,-219.0
29,124,Fencer went out of bounds,-200.5
30,218,Fencer got to close to opponent,-50.5
31,182,Fencer hit opponent,199.0
32,172,Fencer hit opponent,199.5
33,122,Fencer went out of bounds,-200.5
34,241,Fencer went out of bounds,-266.5
35,116,Opponent fell over,199.5
36,176,Fencer went out of bounds,-225.5
37,40,Opponent fell over,199.5
38,38,Opponent fell over,199.5
39,114,Fencer went out of bounds,-200.5
40,129,Fencer went out of bounds,-200.5
41,150,Fencer went out of bounds,-200.5
42,117,Fencer went out of bounds,-200.5
43,176,Fencer hit opponent,189.5
44,249,Fencer got to close to opponent,-50.5
45,142,Fencer went out of bounds,-200.5
46,182,Fencer went out of bounds,-200.5
47,62,Fencer went out of bounds,-200.5
48,118,Fencer went out of bounds,-200.5
49,117,Fencer went out of bounds,-200.5
50,195,Fencer fell over,-100.5
51,136,Fencer fell over,-100.5
52,153,Fencer hit opponent,199.5
53,226,Fencer got to close to opponent,-50.5
54,132,Fencer went out of bounds,-200.5
55,238,Fencer got to close to opponent,-57.0
56,205,Fencer went out of bounds,-200.5
57,108,Fencer went out of bounds,-201.0
58,159,Fencer went out of bounds,-200.5
59,23,Opponent fell over,199.5
60,135,Fencer went out of bounds,-200.5
61,174,Fencer went out of bounds,-208.0
62,46,Opponent fell over,199.5
63,122,Fencer went out of bounds,-200.5
64,182,Fencer went out of bounds,-200.5
65,52,Fencer went out of bounds,-206.0
66,114,Opponent fell over,199.5
67,126,Fencer went out of bounds,-200.5
68,255,Fencer went out of bounds,-208.0
69,158,Fencer went out of bounds,-200.5
70,143,Fencer went out of bounds,-200.5
71,121,Fencer went out of bounds,-200.5
72,201,Fencer went out of bounds,-216.5
73,123,Fencer went out of bounds,-200.5
74,187,Fencer went out of bounds,-200.5
75,181,Fencer went out of bounds,-207.0
76,150,Fencer went out of bounds,-200.5
77,94,Fencer fell over,-100.5
78,136,Fencer went out of bounds,-200.5
79,73,Fencer went out of bounds,-200.5
80,127,Fencer went out of bounds,-200.5
81,237,Fencer got to close to opponent,-55.5
82,212,Fencer went out of bounds,-212.5
83,101,Opponent fell over,199.5
84,157,Fencer went out of bounds,-200.5
85,125,Fencer went out of bounds,-210.0
86,130,Fencer went out of bounds,-208.0
87,146,Fencer fell over,-100.5
88,173,Fencer went out of bounds,-207.5
89,145,Fencer went out of bounds,-200.5
90,127,Fencer went out of bounds,-200.5
91,121,Fencer went out of bounds,-209.0
92,129,Fencer went out of bounds,-206.5
93,113,Fencer went out of bounds,-200.5
94,187,Fencer went out of bounds,-200.5
95,212,Fencer went out of bounds,-201.0
96,165,Fencer went out of bounds,-231.5
97,103,Opponent fell over,199.5
98,151,Opponent fell over,155.0
99,273,Fencer went out of bounds,-208.0
